App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated,Current Ver,Android Ver
Manga AZ - Manga Comic Reader,COMICS,3.3,126,4.7M,5000,Free,0,Teen,Comics,"July 24, 2018",1.0.4,4.0.3 and up
Battery Calibration,TOOLS,4.4,134412,11M,5000000,Free,0,Everyone,Tools,"July 27, 2018",3.0.5,4.4 and up
My Chakra Meditation 2,HEALTH_AND_FITNESS,4.3,1288,31M,100000,Free,0,Everyone,Health & Fitness,"April 10, 2018",2.0.4,2.3.3 and up
Q Remote Control,TOOLS,3.8,4264,14M,500000,Free,0,Everyone,Tools,"July 12, 2014",2.6.1,2.3 and up
Microsoft OneDrive,PRODUCTIVITY,4.4,1038306,Varies with device,100000000,Free,0,Everyone,Productivity,"August 1, 2018",Varies with device,Varies with device
Pink Diamond Princess Keyboard Theme,PERSONALIZATION,3.7,10796,6.8M,1000000,Free,0,Everyone,Personalization,"July 6, 2018",6.7.5,4.0.3 and up
Cheating Tom 3 - Genius School,GAME,4.3,90415,84M,10000000,Free,0,Everyone,Arcade,"July 24, 2018",1.0.20,4.1 and up
AP Psychology Prep: Practice Tests and Flashcards,FAMILY,4.5,242,5.4M,50000,Free,0,Everyone,Education,"July 3, 2018",1.6.7.1,4.1 and up
NCAA Sports,SPORTS,3.9,4272,16M,500000,Free,0,Everyone,Sports,"April 23, 2018",3.0.13,4.1 and up
Casino AZ/Talking Stick Resort,TRAVEL_AND_LOCAL,4.3,201,45M,10000,Free,0,Everyone,Travel & Local,"July 16, 2018",7.9.2.6,4.4 and up
DN.VR,NEWS_AND_MAGAZINES,3.0,29,37M,5000,Free,0,Everyone 10+,News & Magazines,"May 23, 2018",2.1.1,5.0 and up
Shortcuts for After Effects,FAMILY,3.7,464,1.9M,50000,Free,0,Everyone,Education,"August 9, 2014",1.0,2.3 and up
ABC News - US & World News,NEWS_AND_MAGAZINES,4.0,18976,35M,1000000,Free,0,Everyone 10+,News & Magazines,"June 6, 2018",3.19.11,5.0 and up
Bing Ads,BUSINESS,4.1,1828,13M,100000,Free,0,Everyone,Business,"July 20, 2018",2.13.2,4.1 and up
BN Pro ArialXL-b Neon HD Text,LIBRARIES_AND_DEMO,4.1,66,728k,10000,Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
Hole.io,GAME,4.2,145353,85M,10000000,Free,0,Teen,Arcade,"July 24, 2018",1.3.1,4.1 and up
Photo frame,PHOTOGRAPHY,4.5,859,21M,100000,Free,0,Everyone,Photography,"July 18, 2018",1.5.1,4.0.3 and up
COOKING MAMA Let's Cook!,FAMILY,4.3,528745,59M,10000000,Free,0,Everyone,Educational;Pretend Play,"July 26, 2018",1.38.0,4.1 and up
B612 - Beauty & Filter Camera,PHOTOGRAPHY,4.4,5282558,Varies with device,100000000,Free,0,Everyone,Photography,"July 30, 2018",7.6.5,4.3 and up
DG Screen Recorder,VIDEO_PLAYERS,3.3,12,2.9M,500,Free,0,Everyone,Video Players & Editors,"October 20, 2015",1.7,5.0 and up
Period Tracker - Period Calendar Ovulation Tracker,HEALTH_AND_FITNESS,4.8,4559407,Varies with device,100000000,Free,0,Everyone,Health & Fitness,"August 1, 2018",Varies with device,Varies with device
My baby Piano,PARENTING,3.9,17941,Varies with device,5000000,Free,0,Everyone,Parenting;Music & Video,"May 27, 2018",Varies with device,Varies with device
Hangouts,COMMUNICATION,4.0,3419249,Varies with device,1000000000,Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device
Toca Kitchen 2,FAMILY,4.5,1014846,56M,50000000,Free,0,Everyone,Educational;Pretend Play,"June 29, 2017",1.2.3-play,4.1 and up
"Shopular: Coupons, Weekly Ads & Shopping Deals",SHOPPING,4.7,57920,Varies with device,1000000,Free,0,Everyone,Shopping,"May 31, 2018",Varies with device,Varies with device
Frontback - Social Photos,SOCIAL,3.8,19446,Varies with device,1000000,Free,0,Mature 17+,Social,"December 1, 2017",3.4.5,4.0.3 and up
Save.ca,SHOPPING,3.7,2094,34M,100000,Free,0,Everyone,Shopping,"July 2, 2018",4.8.18.12,4.1 and up
Instabridge - Free WiFi Passwords and Hotspots,TOOLS,4.4,211308,Varies with device,10000000,Free,0,Everyone,Tools,"August 2, 2018",Varies with device,4.1 and up
Villains vs Superheroes,FAMILY,4.3,128,22M,10000,Free,0,Everyone,Puzzle,"September 12, 2017",3.3.3z,4.0.3 and up
Sprig by CO-OP,FINANCE,2.9,252,18M,10000,Free,0,Everyone,Finance,"October 11, 2017",1.4.1033,4.1 and up
Ringtone Maker,PERSONALIZATION,4.3,495905,Varies with device,50000000,Free,0,Everyone,Personalization,"July 29, 2018",Varies with device,Varies with device
Word Link,GAME,4.6,216675,30M,10000000,Free,0,Everyone,Word,"August 1, 2018",2.2.7,4.1 and up
Exército Brasileiro,PRODUCTIVITY,4.7,1730,16M,100000,Free,0,Everyone,Productivity,"February 1, 2018",1.5,4.1 and up
DRAGON QUEST VIII,FAMILY,4.5,7812,27M,50000,Paid,1999,Everyone 10+,Role Playing,"April 4, 2017",1.1.4,4.0 and up
Nightenfell: Shared AR,GAME,4.5,20,65M,1000,Paid,99,Everyone 10+,Action,"March 27, 2018",1.0.0,7.0 and up
"EG SIM CARD (EGSIMCARD, 이지심카드)",BUSINESS,2.9,322,1.5M,50000,Free,0,Everyone,Business,"March 28, 2017",2.13,2.2 and up
wetter.com - Weather and Radar,WEATHER,4.2,189313,38M,10000000,Free,0,Everyone,Weather,"August 6, 2018",Varies with device,Varies with device
Basket Manager 2018 Pro,SPORTS,3.7,84,6.3M,1000,Paid,299,Everyone,Sports,"April 17, 2018",3.7,4.4 and up
BR Video Player,VIDEO_PLAYERS,4.0,46,3.1M,5000,Free,0,Everyone,Video Players & Editors,"April 20, 2015",1.0.6,3.0 and up
"S S9 Launcher - Galaxy S8/S9 Launcher, theme, cool",TOOLS,4.4,22503,6.5M,1000000,Free,0,Everyone,Tools,"July 6, 2018",4.1,4.1 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,5000000,Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
Goody.ba,FAMILY,4.7,303,42M,10000,Free,0,Everyone,Entertainment,"July 22, 2018",2.0.5,4.1 and up
Run on Earth,HEALTH_AND_FITNESS,2.4,577,3.7M,50000,Free,0,Everyone,Health & Fitness,"April 25, 2018",1.7.5,4.0 and up
Masha and the Bear: House Cleaning Games for Girls,FAMILY,4.5,43852,77M,10000000,Free,0,Everyone,Role Playing;Pretend Play,"July 19, 2018",1.9.10,4.1 and up
CP Trivia,GAME,5.0,5,12M,100,Free,0,Everyone,Trivia,"August 6, 2018",0.99,5.0 and up
Calculator CM,TOOLS,4.4,8,1.8M,500,Free,0,Everyone,Tools,"March 9, 2015",1.0,2.3 and up
JackThreads: Men's Shopping,SHOPPING,4.0,13085,2.7M,1000000,Free,0,Teen,Shopping,"November 8, 2017",5.1,4.0.3 and up
Gangstar Vegas - mafia game,GAME,4.5,4830407,32M,50000000,Free,0,Mature 17+,Action,"May 25, 2018",3.7.1a,Varies with device
X-Plane to GPS,TOOLS,4.2,161,1.2M,5000,Paid,99,Everyone,Tools,"March 4, 2018",1.62,4.4 and up
Toca Life: City,FAMILY,4.7,31100,24M,500000,Paid,399,Everyone,Education;Pretend Play,"July 6, 2018",1.5-play,4.4 and up
Baby Panda Care,FAMILY,4.2,108795,49M,10000000,Free,0,Everyone,Educational;Pretend Play,"June 15, 2018",8.25.10.00,4.0.3 and up
The X-Files: Deep State - Hidden Object Adventure,FAMILY,4.5,22018,53M,500000,Free,0,Teen,Casual,"July 18, 2018",2.6.1,5.0 and up
2GIS: directory & navigator,TRAVEL_AND_LOCAL,4.5,768833,Varies with device,50000000,Free,0,Everyone,Travel & Local,"July 30, 2018",Varies with device,Varies with device
DigiCal Calendar Agenda,PRODUCTIVITY,4.4,133573,Varies with device,5000000,Free,0,Everyone,Productivity,"July 3, 2018",Varies with device,Varies with device
Culver's,LIFESTYLE,3.9,1638,4.9M,100000,Free,0,Everyone,Lifestyle,"April 11, 2018",1.20,4.3 and up
Bk Usha behn,LIFESTYLE,5.0,10,3.0M,1000,Free,0,Everyone,Lifestyle,"January 14, 2018",1.0,4.1 and up
Snowboard Racing Free Fun Game,GAME,3.8,4552,43M,100000,Free,0,Everyone,Racing,"October 26, 2016",1.4.0,2.3.3 and up
BD Online Shop,BUSINESS,4.2,63,13M,5000,Free,0,Everyone,Business,"September 13, 2015",3.0.1,2.3.3 and up
Drink-O-Tron The Drinking Game,GAME,4.1,140,45M,50000,Free,0,Mature 17+,Card,"May 31, 2017",1.64,4.0.3 and up
Start Meeting,BUSINESS,4.1,308,14M,50000,Free,0,Everyone,Business,"May 29, 2018",3.1.4.0,4.0.3 and up
GRE Tutor,EDUCATION,4.0,275,2.3M,50000,Free,0,Everyone,Education,"December 2, 2013",2.9,2.1 and up
Florida Blue,HEALTH_AND_FITNESS,3.2,499,34M,100000,Free,0,Everyone,Health & Fitness,"July 10, 2018",4.2.1,7.0 and up
"AG Contacts, Premium edition",COMMUNICATION,4.5,88,3.7M,500,Paid,499,Everyone,Communication,"May 18, 2018",8.05.18.14250,4.0.3 and up
GO Weather EX Theme White,WEATHER,4.2,8723,4.6M,500000,Free,0,Everyone,Weather,"August 27, 2014",1.0,2.2 and up
Dr. McDougall Mobile Cookbook,HEALTH_AND_FITNESS,3.8,76,1.2M,1000,Paid,499,Everyone,Health & Fitness,"January 26, 2015",1.1,2.2 and up
"Pretty Makeup, Beauty Photo Editor & Snappy Camera",PHOTOGRAPHY,4.5,26361,29M,5000000,Free,0,Everyone,Photography,"July 25, 2018",5.3,4.1 and up
20 minutes (CH),NEWS_AND_MAGAZINES,3.7,4379,Varies with device,1000000,Free,0,Teen,News & Magazines,"August 3, 2018",Varies with device,Varies with device
Fatal Raid - No.1 Mobile FPS,GAME,4.3,56496,81M,1000000,Free,0,Teen,Action,"August 7, 2018",1.5.447,4.0 and up
BI Mobile,FINANCE,4.4,337,3.3M,10000,Free,0,Everyone,Finance,"March 15, 2018",1.0,4.0.3 and up
Fly Delta,TRAVEL_AND_LOCAL,3.7,27560,46M,5000000,Free,0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up
CritDice - Dice Roller,FAMILY,4.7,2910,5.3M,50000,Free,0,Everyone,Entertainment,"October 30, 2016",2.0.0,4.1 and up
Sufara.ba,FAMILY,4.9,285,25M,10000,Free,0,Everyone,Education,"January 5, 2018",1.0.5,4.4 and up
PJ Masks: Moonlight Heroes,FAMILY,4.4,86961,99M,10000000,Free,0,Everyone,Casual;Action & Adventure,"June 5, 2018",2.0.1,4.0.3 and up
The League,DATING,3.0,837,9.4M,100000,Free,0,Mature 17+,Dating,"July 16, 2018",1.15.0,4.4 and up
Ultimate Chest Tracker,PRODUCTIVITY,4.5,40328,23M,1000000,Free,0,Everyone,Productivity,"October 17, 2016",1.9,2.3 and up
Menstrual Calendar Premium,MEDICAL,4.4,4207,Varies with device,50000,Paid,399,Everyone,Medical,"July 26, 2013",Varies with device,Varies with device
PES CLUB MANAGER,SPORTS,4.4,783025,Varies with device,10000000,Free,0,Everyone,Sports,"June 7, 2018",1.7.2,4.2 and up
GearBest Online Shopping,SHOPPING,4.5,245104,35M,5000000,Free,0,Everyone,Shopping,"August 1, 2018",3.6.0,4.0.3 and up
IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5M,10000,Paid,299,Everyone,Medical,"April 25, 2018",1.17.0,4.0 and up
AU Students Zone (Result 2016),FAMILY,4.0,97,3.9M,10000,Free,0,Everyone,Education,"July 1, 2016",1.1,4.0 and up
DMR BrandMeister Tool,COMMUNICATION,3.3,78,2.5M,10000,Free,0,Everyone,Communication,"March 31, 2018",4.5,6.0 and up
Barbie Life™,FAMILY,3.9,133117,63M,5000000,Free,0,Everyone,Casual;Pretend Play,"July 12, 2018",2.6,4.1 and up
The Emirates App,TRAVEL_AND_LOCAL,4.4,22776,55M,1000000,Free,0,Everyone,Travel & Local,"August 6, 2018",4.7.1,5.0 and up
Be U Salons Hair-Beauty Deals In Delhi & Bangalore,LIFESTYLE,4.0,889,16M,100000,Free,0,Everyone,Lifestyle,"August 2, 2018",1.1.4.38,4.2 and up
EC Calgary,FAMILY,5.0,6,8.1M,100,Free,0,Teen,Education,"June 26, 2018",3.8.0,4.1 and up
Mercato foot by Maxifoot,SPORTS,4.4,697,3.0M,100000,Free,0,Everyone,Sports,"March 16, 2017",1.1,4.1 and up
Cyprus CU Mobile Banking,FINANCE,3.4,295,Varies with device,10000,Free,0,Everyone,Finance,"February 13, 2018",5.3.4,4.4 and up
"Tagged - Meet, Chat & Dating",SOCIAL,4.1,486824,Varies with device,10000000,Free,0,Mature 17+,Social,"June 21, 2018",Varies with device,Varies with device
"GCash - Buy Load, Pay Bills, Send Money",FINANCE,4.0,25508,Varies with device,1000000,Free,0,Everyone,Finance,"July 31, 2018",Varies with device,4.2 and up
Esto Es Guerra TVN,FAMILY,4.5,1303,13M,100000,Free,0,Everyone,Entertainment,"July 24, 2018",1.7.2,4.1 and up
Kawaii Easy Drawing : How to draw Step by Step,LIFESTYLE,4.3,34327,8.1M,5000000,Free,0,Everyone,Lifestyle,"July 17, 2018",2.5.1,4.0 and up
Barcelona Live 2018—Goals & News for Barca FC Fans,SPORTS,4.6,342,38M,10000,Free,0,Everyone,Sports,"August 6, 2018",2.22.0,4.2 and up
OLX Uganda Sell Buy Cellphones,SHOPPING,4.2,4977,9.8M,100000,Free,0,Everyone,Shopping,"July 25, 2018",11.15.03,4.1 and up
HotelTonight: Book amazing deals at great hotels,TRAVEL_AND_LOCAL,4.4,57556,Varies with device,5000000,Free,0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device
Hair saloon - Spa salon,FAMILY,4.2,38473,23M,10000000,Free,0,Everyone,Casual;Pretend Play,"April 11, 2018",1.0.5,4.1 and up
3D DJ – Music Mixer with Virtual DJ,FAMILY,4.3,796,28M,100000,Free,0,Everyone,Entertainment,"July 3, 2018",6.6.8,5.0 and up
CB Mobile Access,FINANCE,1.5,57,25M,1000,Free,0,Everyone,Finance,"February 26, 2018",4.3.6,4.2 and up
"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100,Paid,1299,Everyone,Medical,"July 25, 2018",7,3.0 and up
We Heart It,SOCIAL,4.5,637254,Varies with device,10000000,Free,0,Teen,Social,"July 18, 2018",Varies with device,Varies with device
UK Girls Mobile Numbers,DATING,3.0,1,5.5M,500,Free,0,Mature 17+,Dating,"July 19, 2018",1.0,4.0.3 and up
T-Mobile Visual Voicemail,TOOLS,3.6,41502,Varies with device,50000000,Free,0,Everyone,Tools,"July 31, 2018",Varies with device,Varies with device
EB Annual Meetings,BOOKS_AND_REFERENCE,3.5,11,15M,1000,Free,0,Everyone,Books & Reference,"April 13, 2018",9.4.7.6,4.0 and up
Penny Puss,TOOLS,3.0,19,22M,1000,Paid,499,Everyone,Tools,"July 9, 2016",1.911.1944.4606,4.0 and up
Cambridge English FC,FAMILY,4.4,761,11M,50000,Free,0,Everyone,Education,"October 6, 2016",2.1.0,4.0 and up
Apple Daily Apple News,NEWS_AND_MAGAZINES,3.4,41490,25M,5000000,Free,0,Teen,News & Magazines,"July 24, 2018",4.6.0,4.1 and up
camera zoom moon,PHOTOGRAPHY,3.7,1213,1.1M,500000,Free,0,Everyone,Photography,"January 23, 2018",1.06,2.3 and up
Blood Pressure Log - MyDiary,MEDICAL,4.7,8348,2.6M,500000,Free,0,Everyone,Medical,"April 13, 2018",1.4.6,4.0 and up
EY Staff ENTERTAINER,LIFESTYLE,4.3,218,19M,10000,Free,0,Everyone,Lifestyle,"January 16, 2017",1.0.3,2.3 and up
FC Barcelona Fantasy Manager: Real football mobile,SPORTS,4.4,15221,30M,1000000,Free,0,Everyone,Sports,"October 2, 2017",7.30.005,4.0.3 and up
Lottery Driver- Florida Result,FAMILY,4.4,70,4.4M,5000,Free,0,Teen,Entertainment,"April 16, 2017",2.5,4.1 and up
Ao Oni2,GAME,4.1,21223,48M,1000000,Free,0,Teen,Adventure,"April 20, 2018",1.6.6,4.1 and up
Sago Mini Friends,FAMILY,4.4,13155,83M,1000000,Free,0,Everyone,Education;Pretend Play,"June 16, 2016",1.3,4.0.3 and up
Aquarium Co-Op Podcast,LIFESTYLE,4.9,206,3.9M,1000,Free,0,Everyone,Lifestyle,"June 20, 2017",2.3.13,4.2 and up
Abs Workout - 30 Days Fitness App for Six Pack Abs,HEALTH_AND_FITNESS,4.6,299,11M,100000,Free,0,Everyone,Health & Fitness,"August 3, 2018",1.3.8,4.4 and up
Super Slime Blitz - Gumball,FAMILY,4.6,5395,58M,500000,Free,0,Everyone,Arcade;Action & Adventure,"May 24, 2018",1.2.0,4.0.3 and up
English in a Month Free,FAMILY,3.8,6577,13M,1000000,Free,0,Everyone,Education,"July 23, 2017",1.28,4.1 and up
Houzz Interior Design Ideas,HOUSE_AND_HOME,4.6,353813,Varies with device,10000000,Free,0,Everyone,House & Home,"August 1, 2018",Varies with device,Varies with device
aCalendar+ Calendar & Tasks,PRODUCTIVITY,4.6,26919,Varies with device,100000,Paid,599,Everyone,Productivity,"June 25, 2018",Varies with device,Varies with device
Flipboard: News For Our Time,NEWS_AND_MAGAZINES,4.4,1284017,Varies with device,500000000,Free,0,Everyone 10+,News & Magazines,"August 3, 2018",Varies with device,Varies with device
Hymnes et Louanges,BOOKS_AND_REFERENCE,4.4,1877,5.7M,100000,Free,0,Everyone,Books & Reference,"March 21, 2017",2.4.1,4.1 and up
Al Quran : EAlim - Translations & MP3 Offline,BOOKS_AND_REFERENCE,4.5,96419,Varies with device,5000000,Free,0,Everyone,Books & Reference,"May 5, 2018",Varies with device,Varies with device
Mobitee GPS Golf Free,SPORTS,4.2,1904,9.9M,100000,Free,0,Everyone,Sports,"June 11, 2018",2.0.22,2.3 and up
Police VAZ LADA Simulator,FAMILY,3.6,3502,61M,500000,Free,0,Teen,Simulation,"September 11, 2016",1.3,2.3 and up
Groovebook Photo Books & Gifts,PHOTOGRAPHY,4.0,21159,36M,500000,Free,0,Everyone,Photography,"January 31, 2018",2.1.9,4.0.3 and up
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10M,100000,Free,0,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up
EG SIM CARD (EGSIMCARD),TRAVEL_AND_LOCAL,4.4,105,5.0M,10000,Free,0,Everyone,Travel & Local,"May 2, 2018",2.5,2.3 and up
24/7 BZ Reis,TRAVEL_AND_LOCAL,3.1,421,53M,100000,Free,0,Everyone,Travel & Local,"March 9, 2018",4.4.15,4.1 and up
Bo's School Day,FAMILY,4.7,10,30M,1000,Paid,299,Everyone,Education;Pretend Play,"December 18, 2017",1.3,4.0.3 and up
Simple Habit Meditation,HEALTH_AND_FITNESS,4.7,11689,20M,500000,Free,0,Everyone,Health & Fitness,"July 27, 2018",1.29.15,4.4 and up
"Overstock – Home Decor, Furniture Shopping",SHOPPING,4.4,25719,Varies with device,1000000,Free,0,Teen,Shopping,"August 6, 2018",Varies with device,Varies with device
The Vietnam Story - Fun Stories,COMICS,4.5,438,3.4M,10000,Free,0,Everyone,Comics,"December 27, 2017",1.0,2.3 and up
waut.ch!,FAMILY,4.5,10,2.5M,100,Free,0,Everyone,Educational,"June 30, 2018",fcbd82b2-dd5b-41d2-af62-432271c42921,2.0 and up
Alfa-Bank (Alfa-Bank),FINANCE,4.0,44545,Varies with device,1000000,Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
REPUVE,AUTO_AND_VEHICLES,3.9,356,Varies with device,100000,Free,0,Everyone,Auto & Vehicles,"May 25, 2018",Varies with device,Varies with device
EC SPORTS,SPORTS,5.0,1,6.3M,10,Free,0,Everyone,Sports,"May 26, 2015",4.1.1,2.3.3 and up
"Brilliant Quotes: Life, Love, Family & Motivation",BOOKS_AND_REFERENCE,4.5,67186,6.3M,1000000,Free,0,Everyone 10+,Books & Reference,"May 18, 2018",4.4.10,2.3.3 and up
DP Status 2017,PHOTOGRAPHY,4.2,302,7.0M,50000,Free,0,Everyone,Photography,"June 15, 2017",15|06|17,4.1 and up
"Pzizz - Sleep, Nap, Focus",MEDICAL,4.3,5521,22M,100000,Free,0,Everyone,Medical,"July 1, 2018",4.9.6,4.1 and up
ES File Explorer,TOOLS,4.1,278,2.8M,100000,Free,0,Everyone,Tools,"July 2, 2018",3.1.5,4.0 and up
CS Interview FAQs,FAMILY,4.3,99,1.1M,10000,Free,0,Everyone,Education,"February 11, 2013",1.13,2.2 and up
Invasive Alien Species Europe,FAMILY,4.5,13,13M,1000,Free,0,Everyone,Education,"November 20, 2017",1.0.6,4.4 and up
The 5th Stand,SPORTS,4.8,1664,17M,100000,Free,0,Everyone,Sports,"July 31, 2018",1.2.677,4.4 and up
CH info,NEWS_AND_MAGAZINES,3.9,45,15M,5000,Free,0,Everyone,News & Magazines,"February 20, 2018",6.0.0.12,4.4 and up
New Launcher 2018,PERSONALIZATION,4.4,142393,12M,10000000,Free,0,Everyone,Personalization,"July 31, 2018",1.284.1.126,4.2 and up
Moment,SOCIAL,4.5,19583,37M,1000000,Free,0,Teen,Social,"August 1, 2018",5.2.1,4.4 and up
World Series of Poker – WSOP Free Texas Holdem,GAME,4.5,910051,76M,10000000,Free,0,Teen,Card,"August 2, 2018",5.11.0,4.1 and up
Textgram - write on photos,ART_AND_DESIGN,4.4,295237,Varies with device,10000000,Free,0,Everyone,Art & Design,"July 30, 2018",Varies with device,Varies with device
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,500000,Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up
Events High - Meet Your City!,EVENTS,4.2,3200,Varies with device,100000,Free,0,Everyone 10+,Events,"June 23, 2018",Varies with device,Varies with device
Antivirus & Mobile Security,TOOLS,4.6,351267,5.0M,10000000,Free,0,Everyone,Tools,"February 9, 2018",3.1.0,4.0 and up
FR Calculator,FAMILY,4.0,7,2.6M,500,Free,0,Everyone,Education,"June 18, 2017",1.0.0,4.1 and up
Healthy Recipes Free,FOOD_AND_DRINK,4.0,1077,17M,100000,Free,0,Everyone,Food & Drink,"October 18, 2017",3.2.0,4.0.3 and up
Temple Run 2,GAME,4.3,8119154,62M,500000000,Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up
EmuBox - Fast Retro Emulator,GAME,3.9,1576,43M,50000,Free,0,Everyone,Arcade,"August 5, 2018",2.1.1,4.1 and up
Blur Image Background Editor (Blur Photo Editor),PHOTOGRAPHY,4.4,62421,9.6M,5000000,Free,0,Everyone,Photography,"July 28, 2018",2.4,4.1 and up
HOTEL DEALS,TRAVEL_AND_LOCAL,4.2,1609,4.0M,100000,Free,0,Everyone,Travel & Local,"April 26, 2018",53.89.55,4.1 and up
Girls Craft: Exploration,FAMILY,3.8,130689,57M,5000000,Free,0,Everyone 10+,Simulation,"August 3, 2018",1.32,4.2 and up
NetSpend Prepaid,FINANCE,4.2,15993,45M,1000000,Free,0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up
Weather Radar Widget,WEATHER,4.3,18194,3.2M,1000000,Free,0,Everyone,Weather,"June 28, 2017",1.7.7,3.0 and up
