App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated,Current Ver,Android Ver
HD Camera for Android,PHOTOGRAPHY,4-5,351254,4.0M,10000000,Free,0,Everyone,Photography,"June 29, 2018",4.6.0.0,4.2 and up
Clarksburg AH,MEDICAL,1-2,1,28M,50,Free,0,Everyone,Medical,"May 1, 2017",300000.0.81,4.0.3 and up
Technology CM Locker Theme,PERSONALIZATION,4-5,10093,5.5M,1000000,Free,0,Everyone,Personalization,"February 26, 2016",1.0.0,4.0 and up
3D Color by Number with Voxels,FAMILY,4-5,5481,69M,500000,Free,0,Everyone,Entertainment,"July 7, 2018",1.3,4.4 and up
Gangstar Vegas - mafia game,GAME,4-5,4830407,32M,50000000,Free,0,Mature 17+,Action,"May 25, 2018",3.7.1a,Varies with device
"ZenUI Keyboard – Emoji, Theme",TOOLS,4-5,537554,Varies with device,10000000,Free,0,Everyone,Tools,"August 1, 2018",Varies with device,Varies with device
Quiz DC,GAME,1-2,33,3.1M,1000,Free,0,Everyone,Trivia,"December 25, 2017",1.10,4.1 and up
Finger Scanner Gestures,TOOLS,4-5,2531,3.3M,100000,Free,0,Everyone,Tools,"July 30, 2017",1.2.4,6.0 and up
Contacts,COMMUNICATION,4-5,66602,Varies with device,50000000,Free,0,Everyone,Communication,"June 26, 2018",2.8.4.201036949,5.0 and up
"FD Calculator (EMI, SIP, RD & Loan Eligilibility)",FINANCE,4-5,104,2.3M,1000,Free,0,Everyone,Finance,"August 7, 2018",2.1.0,4.1 and up
Tassa.fi Finland,LIFESTYLE,3-4,346,7.5M,50000,Free,0,Everyone,Lifestyle,"May 22, 2018",5.5,4.0 and up
BG Monitor Diabetes Pro,MEDICAL,4-5,87,2.8M,500,Paid,599,Everyone,Medical,"April 23, 2017",8.0.1,4.4 and up
BeWild Free Dating & Chat App,DATING,3-4,1999,8.0M,100000,Free,0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up
Resume Builder / CV Maker & Templates,BUSINESS,4-5,25,7.9M,5000,Free,0,Everyone,Business,"January 19, 2018",1.0.3,4.0.3 and up
Formula Cartoon All Stars,FAMILY,3-4,1213,18M,10000,Paid,299,Everyone,Racing;Action & Adventure,"June 25, 2015",4.1.2,2.3.3 and up
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4-5,116986,35M,5000000,Free,0,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up
Sai Baba - Sabka Malik Ek,PRODUCTIVITY,4-5,42,38M,1000,Free,0,Everyone,Productivity,"May 26, 2018",1.4,4.0 and up
Moto LED for Moto X & E [Root],LIFESTYLE,3-4,4082,318k,500000,Free,0,Everyone,Lifestyle,"October 16, 2014",1.0,4.2 and up
Theme For Techno Camon CX,PERSONALIZATION,4-5,42,10M,5000,Free,0,Everyone,Personalization,"May 10, 2017",1.0.,4.0 and up
ePN Cashback AliExpress,LIFESTYLE,4-5,19212,6.9M,500000,Free,0,Everyone,Shopping,"August 3, 2018",0.2.9.17,4.1 and up
Goldstar: Live Event Tickets,EVENTS,4-5,1953,Varies with device,100000,Free,0,Teen,Events,"August 1, 2018",Varies with device,Varies with device
Don't Hug Me I'm So Scared,GAME,3-4,901,63M,50000,Free,0,Everyone,Adventure,"June 8, 2018",1.8.5,2.3 and up
Bird - Enjoy The Ride,TRAVEL_AND_LOCAL,4-5,2649,25M,500000,Free,0,Everyone,Travel & Local,"August 3, 2018",4.1.1,4.4 and up
DB Train Simulator,FAMILY,3-4,6514,72M,500000,Free,0,Everyone,Simulation,"May 23, 2018",1.6.2,3.0 and up
Easy Origami Ideas,ART_AND_DESIGN,4-5,1015,11M,100000,Free,0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up
Nights at Cube Pizzeria 3D – 3,FAMILY,3-4,15875,40M,1000000,Free,0,Teen,Simulation,"March 3, 2017",1.5,4.2 and up
Insightly CRM,BUSINESS,3-4,1383,51M,100000,Free,0,Everyone,Business,"July 12, 2018",3.24.1,5.0 and up
Volume Control Ex,TOOLS,4-5,5,2.5M,100,Paid,149,Everyone,Tools,"July 30, 2018",1.6.2,4.0 and up
Calculator,TOOLS,4-5,40770,Varies with device,100000000,Free,0,Everyone,Tools,"November 21, 2017",Varies with device,Varies with device
Lock Screen - DU Locker & Lock screen wallpaper,TOOLS,4-5,5174,4.7M,100000,Free,0,Everyone,Tools,"April 26, 2018",2.0.0,4.0 and up
BG Products,AUTO_AND_VEHICLES,4-5,4,4.5M,500,Free,0,Everyone,Auto & Vehicles,"November 28, 2017",1.3,5.0 and up
fred's Pharmacy,MEDICAL,2-3,315,22M,100000,Free,0,Everyone,Medical,"October 10, 2017",1.0.02,4.0 and up
Snapp,MAPS_AND_NAVIGATION,4-5,37937,25M,1000000,Free,0,Everyone,Maps & Navigation,"August 1, 2018",3.6.7,4.0.3 and up
AZ Rockets,GAME,4-5,162,37M,10000,Free,0,Everyone,Arcade,"May 25, 2018",1.2.1,4.1 and up
"AliExpress - Smarter Shopping, Better Living",LIFESTYLE,4-5,5917485,Varies with device,100000000,Free,0,Teen,Shopping,"August 6, 2018",Varies with device,Varies with device
Sokoban Land DX,FAMILY,3-4,46,20M,10000,Paid,299,Everyone,Puzzle,"January 29, 2018",1.0.6,2.3 and up
H!LooK - Dating,DATING,4-5,46,26M,10000,Free,0,Mature 17+,Dating,"July 29, 2018",2.1.6,5.0 and up
Fishdom,GAME,4-5,2157930,Varies with device,10000000,Free,0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up
Blood Pressure,MEDICAL,4-5,33033,7.4M,5000000,Free,0,Everyone,Medical,"July 24, 2018",3.27.3,4.1 and up
Angry Birds Evolution,FAMILY,4-5,384602,88M,10000000,Free,0,Everyone,Role Playing,"July 30, 2018",1.21.1,5.0 and up
Florida Tech Mobile,FAMILY,3-4,87,5.4M,5000,Free,0,Everyone,Education,"September 13, 2016",5.2,4.1 and up
Accounting Quiz (AQ) Malaysia,FAMILY,4-5,25,Varies with device,1000,Free,0,Everyone,Education,"January 29, 2018",Varies with device,4.0 and up
Walk with Map My Walk,HEALTH_AND_FITNESS,4-5,144050,55M,5000000,Free,0,Everyone,Health & Fitness,"July 27, 2018",18.7.1,5.0 and up
My College Bookstore,LIFESTYLE,3-4,661,7.6M,100000,Free,0,Everyone,Shopping,"March 19, 2018",3.0.2,4.1 and up
Wish - Shopping Made Fun,LIFESTYLE,4-5,6200739,15M,100000000,Free,0,Everyone,Shopping,"August 3, 2018",4.20.5,4.1 and up
PitchBlack S - Samsung Substratum Theme “For Oreo”,PERSONALIZATION,4-5,90,37M,1000,Paid,199,Everyone,Personalization,"August 4, 2018",12.6,7.0 and up
Share Music & Transfer Files - Xender,TOOLS,4-5,1279109,Varies with device,100000000,Free,0,Everyone,Tools,"July 20, 2018",Varies with device,Varies with device
DS Barometer - Altimeter and Weather Information,WEATHER,3-4,2962,4.2M,100000,Free,0,Everyone,Weather,"July 9, 2018",3.67,2.3.3 and up
Selfie Camera,BEAUTY,4-5,17934,Varies with device,1000000,Free,0,Everyone,Beauty,"September 12, 2017",Varies with device,Varies with device
Kids Learn Languages by Mondly,EDUCATION,4-5,2078,Varies with device,100000,Free,0,Everyone,Education;Education,"December 24, 2017",1.0.2,4.1 and up
Interactive CT & MRI Anat.Lite,MEDICAL,3-4,534,14M,100000,Free,0,Everyone,Medical,"July 30, 2012",1.2,2.2 and up
BayPort CU Mobile Banking,FINANCE,4-5,2374,16M,10000,Free,0,Everyone,Finance,"July 31, 2018",5.10.1.0,5.0 and up
eharmony - Online Dating App,DATING,3-4,31320,53M,5000000,Free,0,Mature 17+,Dating,"July 30, 2018",6.6.5,4.1 and up
myLPG.eu,TRAVEL_AND_LOCAL,4-5,556,4.4M,50000,Free,0,Everyone,Travel & Local,"July 25, 2018",1.95,4.0 and up
Barisal University App-BU Face,FAMILY,4-5,100,10M,1000,Free,0,Everyone,Education,"May 6, 2018",3.1.1,4.0.3 and up
MOMOLAND BBoom BBoom,LIBRARIES_AND_DEMO,4-5,2580,20M,100000,Free,0,Everyone,Libraries & Demo,"March 8, 2018",2.0,2.3 and up
Ambulance Rescue Simulator 17,FAMILY,4-5,6669,31M,1000000,Free,0,Everyone,Simulation,"March 1, 2018",1.0.8,2.3 and up
Zombie Hunter King,GAME,4-5,10306,50M,1000000,Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up
Authy 2-Factor Authentication,TOOLS,4-5,15070,6.3M,1000000,Free,0,Everyone,Tools,"July 30, 2018",23.2.7,4.0.3 and up
"K-Spapp, the K-Space app",FAMILY,4-5,39,3.6M,1000,Free,0,Everyone,Education,"February 9, 2017",1.53,4.0.3 and up
"Jaumo Dating, Flirt & Live Video",SOCIAL,4-5,900064,13M,10000000,Free,0,Mature 17+,Social,"July 31, 2018",4.17.2,4.1 and up
File Ex - ES File Explorer,TOOLS,4-5,24,5.0M,1000,Free,0,Everyone,Tools,"December 27, 2017",1.1.6,4.2 and up
Butterfly Live Wallpaper,PERSONALIZATION,4-5,35771,3.5M,5000000,Free,0,Everyone,Personalization,"May 4, 2018",4.1,4.1 and up
AC - Tips & News for Android™,NEWS_AND_MAGAZINES,4-5,23292,14M,1000000,Free,0,Everyone 10+,News & Magazines,"May 24, 2018",3.1.12,4.1 and up
Unclouded - Cloud Manager,PRODUCTIVITY,4-5,6850,11M,100000,Free,0,Everyone,Productivity,"August 8, 2016",2.3.3-play,4.1 and up
DS get,TOOLS,3-4,71852,22M,5000000,Free,0,Everyone,Tools,"May 23, 2018",1.12.0,4.1 and up
Download Video Free,FAMILY,3-4,39682,6.2M,1000000,Free,0,Everyone,Entertainment,"April 3, 2018",3.5.5,4.1 and up
DS Tower Defence,GAME,3-4,768,1.4M,100000,Free,0,Everyone,Arcade,"June 5, 2013",1.0,1.5 and up
BM Wallet,FINANCE,4-5,798,29M,50000,Free,0,Everyone,Finance,"January 3, 2018",1.0.46,4.0 and up
Florida Tides & Weather,WEATHER,3-4,30,2.0M,1000,Paid,699,Everyone,Weather,"May 6, 2015",2.0.0,2.3 and up
Color Quartets,FAMILY,3-4,42,12M,1000,Free,0,Everyone,Casual,"November 15, 2016",1.46,4.0 and up
Alpha Bank CY,FINANCE,4-5,39,20M,1000,Free,0,Everyone,Finance,"March 20, 2018",1.11,4.3 and up
NBC News,NEWS_AND_MAGAZINES,4-5,63020,Varies with device,5000000,Free,0,Everyone 10+,News & Magazines,"February 13, 2018",Varies with device,Varies with device
Happify,HEALTH_AND_FITNESS,3-4,1812,37M,100000,Free,0,Everyone,Health & Fitness,"July 24, 2018",1.31.0-15160.950adac99,4.4 and up
Google+,SOCIAL,4-5,4831125,Varies with device,1000000000,Free,0,Teen,Social,"July 26, 2018",Varies with device,Varies with device
Destiny Ninja Shall we date otome games love story,GAME,4-5,13079,30M,500000,Free,0,Everyone 10+,Adventure,"April 20, 2018",1.6.2,4.0 and up
ActionDirector Video Editor - Edit Videos Fast,ENTERTAINMENT,4-5,74531,32M,5000000,Free,0,Everyone,Video Players & Editors,"June 15, 2018",2.12.0,4.3 and up
Mahalaxmi Dindarshika 2018,PRODUCTIVITY,4-5,25427,9.2M,1000000,Free,0,Everyone,Productivity,"January 5, 2018",18.0,4.0 and up
DF-Server Mobile,PRODUCTIVITY,4-5,17,76M,100,Free,0,Everyone,Productivity,"June 7, 2016",1.0.0,4.4 and up
KPS CHAUHAN DY/DX,FAMILY,4-5,37,10M,100,Free,0,Everyone,Education,"July 28, 2018",1.0.32.1,4.1 and up
My Space - Employment Center,BUSINESS,4-5,67000,Varies with device,1000000,Free,0,Everyone,Business,"July 17, 2018",Varies with device,4.3 and up
FaceQ,FAMILY,4-5,591411,19M,10000000,Free,0,Teen,Entertainment,"May 16, 2017",3.4.1,3.0 and up
CQ ESPM,BUSINESS,4-5,2,3.4M,5,Free,0,Everyone,Business,"June 3, 2017",1.0.1,4.1 and up
P Launcher Theme For Android™ 9.0,PERSONALIZATION,3-4,213,28M,10000,Free,0,Everyone,Personalization,"May 18, 2018",1.4,4.0 and up
Bowmasters,GAME,4-5,1534466,Varies with device,50000000,Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up
Transenger – Ts Dating and Chat for Free,DATING,3-4,8,14M,1000,Free,0,Mature 17+,Dating,"July 29, 2018",1.4.0,4.4 and up
Hesab.af - Send money in Afghanistan,FINANCE,4-5,51,11M,1000,Free,0,Everyone,Finance,"April 15, 2018",1.4.0,4.1 and up
Dating for 50 plus Mature Singles – FINALLY,DATING,4-5,13046,13M,500000,Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
My Talking Tom,FAMILY,4-5,14885236,Varies with device,500000000,Free,0,Everyone,Casual,"July 19, 2018",4.8.0.132,4.1 and up
CX-60,FAMILY,3-4,19,94M,1000,Free,0,Everyone,Casual,"May 9, 2017",1.6,2.3 and up
Ag Valley Cooperative,BUSINESS,4-5,6,74M,500,Free,0,Everyone,Business,"June 26, 2017",2.3,4.0 and up
CV Builder for Smart Resumes,BUSINESS,3-4,22,4.1M,1000,Free,0,Everyone,Business,"May 23, 2017",1.9,4.0.3 and up
Single Parent Meet #1 Dating,DATING,3-4,2593,5.0M,500000,Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up
Whataburger,FOOD_AND_DRINK,4-5,5093,56M,500000,Free,0,Everyone,Food & Drink,"April 10, 2018",1.9.0,4.2 and up
Post Bank,FINANCE,4-5,60449,100M,1000000,Free,0,Everyone,Finance,"July 23, 2018",2.9.12,4.0 and up
Dragon Sim Online: Be A Dragon,FAMILY,4-5,111741,66M,5000000,Free,0,Teen,Simulation,"February 27, 2018",5.4,4.0 and up
DW Spectrum™ IPVMS Mobile,BUSINESS,3-4,44,30M,10000,Free,0,Everyone,Business,"June 19, 2018",18.1.18164,4.1 and up
"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4-5,133833,34M,10000000,Free,0,Everyone 10+,Sports,"July 25, 2018",6.17.2,4.4 and up
Texas HoldEm Poker Deluxe,GAME,4-5,396090,26M,10000000,Free,0,Teen,Casino,"May 30, 2018",1.7.0,4.0.3 and up
Lep's World 🍀,GAME,4-5,696019,Varies with device,50000000,Free,0,Everyone 10+,Arcade,"May 26, 2018",3.0.6,4.1 and up
Nike+ Run Club,HEALTH_AND_FITNESS,4-5,708710,Varies with device,10000000,Free,0,Everyone,Health & Fitness,"July 12, 2018",2.17.0,4.4 and up
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4-5,23175,41M,1000000,Free,0,Everyone,Business,"July 13, 2018",18.7,4.1 and up
Contacts+,COMMUNICATION,4-5,190613,11M,10000000,Free,0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up
Run on Earth,HEALTH_AND_FITNESS,2-3,577,3.7M,50000,Free,0,Everyone,Health & Fitness,"April 25, 2018",1.7.5,4.0 and up
"Learn languages, grammar & vocabulary with Memrise",EDUCATION,4-5,1107903,Varies with device,10000000,Free,0,Everyone,Education,"August 2, 2018",Varies with device,Varies with device
Bu the Baby Bunny - Cute pet care game,FAMILY,4-5,37122,89M,1000000,Free,0,Everyone,Educational,"June 14, 2018",1.03,4.1 and up
Postings (Craigslist Search App),LIFESTYLE,4-5,151095,12M,5000000,Free,0,Mature 17+,Shopping,"July 1, 2018",4.0.13,4.1 and up
Soccer Board Tactics,SPORTS,4-5,6231,8.9M,100000,Free,0,Everyone,Sports,"February 9, 2018",10.36,4.2 and up
WeChat,COMMUNICATION,4-5,5387446,Varies with device,100000000,Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device
Mermaids,EDUCATION,4-5,14286,Varies with device,5000000,Free,0,Everyone,Education;Creativity,"April 26, 2018",Varies with device,4.1 and up
CQ Mobile,FINANCE,2-3,36,18M,1000,Free,0,Everyone,Finance,"July 10, 2018",Varies with device,Varies with device
BQ Scan,TOOLS,4-5,18,4.0M,100,Free,0,Everyone,Tools,"April 1, 2018",3.4.5,4.0 and up
Cache Cleaner-DU Speed Booster (booster & cleaner),TOOLS,4-5,12759663,15M,100000000,Free,0,Everyone,Tools,"July 25, 2018",3.1.2,4.0 and up
Find My Friends,SOCIAL,4-5,305367,46M,10000000,Free,0,Everyone,Social,"August 1, 2018",16.7.1,4.4 and up
DV ASSIST,FAMILY,4-5,1,18M,100,Free,0,Everyone,Education,"August 2, 2018",1.0,4.4 and up
Map and Router Badge,MAPS_AND_NAVIGATION,4-5,3652,32M,500000,Free,0,Everyone,Maps & Navigation,"July 25, 2018",4.8.1,4.1 and up
Galaxies of Hope,MEDICAL,4-5,2,24M,50,Free,0,Everyone,Medical,"July 27, 2018",1.0,4.1 and up
BG Future School,FAMILY,4-5,16,10M,100,Free,0,Everyone,Education,"July 22, 2017",1.0,4.0.3 and up
RUN JUMP RUN-fun games for free,GAME,4-5,661,42M,100000,Free,0,Everyone,Action,"April 20, 2018",1.5.2,3.0 and up
Google Ads,BUSINESS,4-5,29313,20M,5000000,Free,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up
Rainfall radar - weather,WEATHER,3-4,26941,Varies with device,5000000,Free,0,Everyone,Weather,"July 13, 2018",Varies with device,Varies with device
Runtastic Sleep Better: Sleep Cycle & Smart Alarm,HEALTH_AND_FITNESS,4-5,111462,Varies with device,5000000,Free,0,Everyone,Health & Fitness,"July 25, 2018",Varies with device,Varies with device
Ez Mirror Match,GAME,4-5,3344,36M,500000,Free,0,Everyone,Arcade,"January 3, 2018",2.1,4.0 and up
Maps - Navigate & Explore,TRAVEL_AND_LOCAL,4-5,9235373,Varies with device,1000000000,Free,0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device
DR CONTROL,FAMILY,3-4,267,1.5M,10000,Free,0,Everyone,Entertainment,"March 8, 2017",2.1.0,4.0.3 and up
FAV KWGT,PERSONALIZATION,4-5,88,66M,1000,Paid,99,Everyone,Personalization,"July 26, 2018",8.0,5.0 and up
MealLogger-Photo Food Journal,HEALTH_AND_FITNESS,3-4,217,9.4M,50000,Free,0,Teen,Health & Fitness,"August 23, 2017",4.6.2,4.0.3 and up
Real Car Dr Parking Master: Parking Games 2018,FAMILY,4-5,3345,27M,1000000,Free,0,Everyone,Simulation,"May 12, 2018",1.0,4.1 and up
free video calls and chat,COMMUNICATION,4-5,594728,Varies with device,50000000,Free,0,Everyone,Communication,"July 19, 2018",7.3(800241),4.4 and up
L.A. Crime Stories Mad City Crime,GAME,3-4,30008,99M,1000000,Free,0,Mature 17+,Racing,"March 30, 2017",1.26,2.3 and up
"Foot Mercato: transfers, results, news, live",SPORTS,4-5,39878,6.1M,1000000,Free,0,Everyone,Sports,"July 28, 2018",3.6.7,4.1 and up
FollowMeter for Instagram,SOCIAL,4-5,90082,8.8M,1000000,Free,0,Everyone,Social,"May 22, 2018",2.44,4.1 and up
Wifi Action Camera,PHOTOGRAPHY,2-3,118,26M,50000,Free,0,Everyone,Photography,"July 24, 2018",1.3.5,4.0 and up
Dairy Queen,FOOD_AND_DRINK,3-4,742,43M,100000,Free,0,Everyone,Food & Drink,"July 25, 2018",2.1.0,4.1 and up
Sci-Fi Sounds and Ringtones,PERSONALIZATION,3-4,128,11M,10000,Free,0,Everyone,Personalization,"September 27, 2017",4.0,4.0 and up
DEER HUNTER 2018,GAME,4-5,955614,82M,10000000,Free,0,Teen,Action,"June 26, 2018",5.1.2,3.0 and up
Adobe Illustrator Draw,PHOTOGRAPHY,4-5,65766,Varies with device,5000000,Free,0,Everyone,Photography,"April 2, 2018",3.4.23,5.0 and up
AC Remote Control,TOOLS,3-4,472,2.0M,100000,Free,0,Everyone,Tools,"October 17, 2017",1.3,4.1 and up
Kymco AK 550,AUTO_AND_VEHICLES,4-5,47,58M,1000,Free,0,Everyone,Auto & Vehicles,"November 11, 2016",1.0,2.3 and up
Monster High™,FAMILY,4-5,66661,22M,5000000,Free,0,Everyone,Casual;Pretend Play,"February 2, 2018",5.2,4.1 and up
CJmall,LIFESTYLE,3-4,18253,10M,10000000,Free,0,Everyone,Shopping,"August 6, 2018",6.3.8,4.1 and up
Al-Quran Al-Muallim,FAMILY,4-5,199,266k,10000,Free,0,Everyone,Education,"September 11, 2013",1.0beta,2.2 and up
TN e Sevai TN EB Bill Patta Citta EC Birth All Hub,SOCIAL,3-4,23,16M,5000,Free,0,Everyone,Social,"April 26, 2018",1.0,4.1 and up
Desperate Housewives: The Game,FAMILY,4-5,10440,27M,500000,Free,0,Teen,Role Playing,"August 6, 2018",18.30.22,4.4 and up
Jungle book-The Great Escape,GAME,3-4,2362,25M,100000,Free,0,Everyone,Action,"July 17, 2013",1.3,2.3 and up
Victoria EC,TOOLS,4-5,5,3.8M,500,Free,0,Everyone,Tools,"March 30, 2018",1.283.0037,2.3.3 and up
BeyondMenu Food Delivery,FOOD_AND_DRINK,4-5,51517,Varies with device,1000000,Free,0,Everyone,Food & Drink,"August 1, 2018",Varies with device,Varies with device
Anti-virus Dr.Web Light,TOOLS,4-5,1094094,Varies with device,100000000,Free,0,Everyone,Tools,"July 10, 2018",Varies with device,Varies with device
HBO GO: Stream with TV Package,ENTERTAINMENT,3-4,87723,32M,10000000,Free,0,Teen,Entertainment,"July 19, 2018",16.0.0.437,4.1 and up
swissinfo.ch,NEWS_AND_MAGAZINES,3-4,271,9.6M,50000,Free,0,Everyone 10+,News & Magazines,"July 18, 2018",3.3.0,4.4 and up
American Muscle Car Race,AUTO_AND_VEHICLES,3-4,129,35M,100000,Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
Jenga® AR,FAMILY,2-3,53,82M,10000,Free,0,Everyone,Puzzle,"March 17, 2018",1.0.1,7.0 and up
"Red Bull TV: Live Sports, Music & Entertainment",ENTERTAINMENT,4-5,42050,Varies with device,1000000,Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device
Dark Infusion Substratum Theme for Android N & O,PERSONALIZATION,4-5,133,59M,1000,Paid,249,Everyone,Personalization,"August 3, 2018",15.6,7.0 and up
"Read- Latest News, Information, Gossip and Politics",NEWS_AND_MAGAZINES,4-5,185058,6.7M,10000000,Free,0,Teen,News & Magazines,"August 1, 2018",3.1.6.9,4.1 and up
Ad Detect Plugin - Handy Tool,PRODUCTIVITY,3-4,5107,1.4M,500000,Free,0,Everyone,Productivity,"December 28, 2015",1.6.3,2.3 and up
ROBLOX,GAME,4-5,4449910,67M,100000000,Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up
La Poupée du Voyant,FAMILY,4-5,265,8.2M,50000,Free,0,Everyone,Entertainment,"January 6, 2017",1.0.0,4.1 and up
Lyrics of Ek Paheli Leela,FAMILY,4-5,4,2.3M,500,Free,0,Everyone,Entertainment,"April 23, 2016",1.0,4.0 and up
Barcelona News - Sportfusion,SPORTS,4-5,382,20M,10000,Free,0,Everyone,Sports,"March 6, 2018",3.953,4.1 and up
World Cup 2018,SPORTS,4-5,4011,2.6M,500000,Free,0,Teen,Sports,"July 1, 2018",1.0.16,2.3 and up
Makeup Editor -Beauty Photo Editor & Selfie Camera,PHOTOGRAPHY,4-5,3378,30M,1000000,Free,0,Mature 17+,Photography,"July 25, 2018",1.7,4.1 and up
L.O.L. Surprise Ball Pop,FAMILY,4-5,10088,Varies with device,1000000,Free,0,Everyone,Casual;Action & Adventure,"March 8, 2018",Varies with device,4.1 and up
AV HD Video Player,FAMILY,3-4,6,23M,1000,Free,0,Everyone,Entertainment,"January 19, 2018",1.0,4.4 and up
"Calculator - free calculator, multi calculator app",TOOLS,4-5,25592,7.5M,10000000,Free,0,Everyone,Tools,"July 31, 2018",v8.0.1.8.0629.1,4.2 and up
Bubble Shooter,GAME,4-5,148897,46M,10000000,Free,0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up
Online TV CZ/SK PRO,ENTERTAINMENT,3-4,167,2.0M,1000,Paid,99,Everyone,Video Players & Editors,"June 21, 2018",3.3.2,4.0.3 and up
N Launcher: Nougat Theme,PERSONALIZATION,4-5,128,7.7M,10000,Free,0,Everyone,Personalization,"June 13, 2017",1.0,4.1 and up
All Mental disorders,MEDICAL,4-5,453,11M,100000,Free,0,Everyone,Medical,"July 7, 2017",1.1,4.0.3 and up
live Point,MEDICAL,3-4,54,17M,5000,Free,0,Mature 17+,Medical,"July 3, 2018",2.6.5,4.1 and up
Breweries (CZ/SK),LIFESTYLE,4-5,1740,4.4M,50000,Free,0,Teen,Lifestyle,"July 27, 2017",3.1.0,4.1 and up
Wifi Inspector,TOOLS,4-5,63712,Varies with device,5000000,Free,0,Everyone,Tools,"May 12, 2016",Varies with device,2.3 and up
ES File Explorer File Manager,PRODUCTIVITY,4-5,5378795,16M,100000000,Free,0,Everyone,Productivity,"August 3, 2018",4.1.8.2.2,4.0 and up
BN Pro ArialXL Legacy Text,LIBRARIES_AND_DEMO,4-5,142,442k,10000,Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
Horror Hospital,GAME,3-4,63986,26M,1000000,Free,0,Teen,Action,"October 10, 2017",6.0,2.3 and up
